2008;JUNIO;28,5
2008;JULIO;37,6
2008;AGOSTO;23,3
2008;SEPTIEMBRE;22,5
2008;OCTUBRE;55,3
2008;NOVIEMBRE;59,7
2008;DICIEMBRE;23,2
2009;ENERO;80,9
2009;FEBRERO;40,8
2009;MARZO;60,7
2009;ABRIL;29,5
2009;MAYO;21,3
2009;JUNIO;46,9
2009;JULIO;17,9
2009;AGOSTO;15
2009;SEPTIEMBRE;3,8
2009;OCTUBRE;32,1
2009;NOVIEMBRE;20,7
2009;DICIEMBRE;37,4
2010;ENERO;12,2
2010;FEBRERO;82,7
2010;MARZO;47,3
2010;ABRIL;77,1
2010;MAYO;54,5
2010;JUNIO;42,4
2010;JULIO;60,6
2010;AGOSTO;19,5
2010;SEPTIEMBRE;13,8
2010;OCTUBRE;13
2010;NOVIEMBRE;30
2010;DICIEMBRE;56,1
2011;ENERO;43,4
2011;FEBRERO;99
2011;MARZO;37,4
2011;ABRIL;122,1
2011;MAYO;47,6
2011;JUNIO;32,8
2011;JULIO;50,9
2011;AGOSTO;12,3
2011;SEPTIEMBRE;44,6
2011;OCTUBRE;33,4
2011;NOVIEMBRE;62,1
2011;DICIEMBRE;57,5
2012;ENERO;100,9
2012;FEBRERO;74,7
2012;MARZO;44,3
2012;ABRIL;75,2
2012;MAYO;19,6
2012;JUNIO;19,6
2012;JULIO;19,2
2012;AGOSTO;15,3
2012;SEPTIEMBRE;14,5
2012;OCTUBRE;48,6
2012;NOVIEMBRE;105,4
2012;DICIEMBRE;23,1
2013;ENERO;23
2013;FEBRERO;77,7
2013;MARZO;51
2013;ABRIL;12,3
2013;MAYO;95,1
2013;JUNIO;21,8
2013;JULIO;29,8
2013;AGOSTO;24,3
2013;SEPTIEMBRE;10,8
2013;OCTUBRE;55,8
2013;NOVIEMBRE;24,7
2013;DICIEMBRE;24
2014;ENERO;31,1
2014;FEBRERO;39,4
2014;MARZO;79,1
2014;ABRIL;59,1
2014;MAYO;50,6
2014;JUNIO;16
2014;JULIO;16,2
2014;AGOSTO;6,2
2014;SEPTIEMBRE;19,7
2014;OCTUBRE;51,8
2014;NOVIEMBRE;27,6
2014;DICIEMBRE;16,7
2015;ENERO;41,9
2015;FEBRERO;19,1
2015;MARZO;95,5

